name,year,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate
Bal Harbour ,2013,4,0.65,4,0.65,3,0.49
Bal Harbour ,2014,3,0.49,3,0.49,2,0.33
Bal Harbour ,2015,6,0.98,6,0.98,2,0.33
Bal Harbour ,2016,6,1.99,6,1.99,3,1.0
Bal Harbour ,2017,4,1.33,4,1.33,3,1.0
Bal Harbour ,2018,2,0.66,2,0.66,2,0.66
Country Club ,2013,253,3.26,245,3.15,155,2.0
Country Club ,2014,229,2.95,215,2.77,162,2.09
Country Club ,2015,409,5.26,287,3.69,124,1.6
Country Club ,2016,331,3.37,252,2.57,113,1.15
Country Club ,2017,208,2.12,184,1.87,136,1.39
Country Club ,2018,137,1.4,130,1.32,125,1.27
Golden Glades ,2013,299,7.08,292,6.92,204,4.83
Golden Glades ,2014,278,6.58,273,6.47,224,5.31
Golden Glades ,2015,550,13.03,401,9.5,217,5.14
Golden Glades ,2016,457,10.13,372,8.25,217,4.81
Golden Glades ,2017,327,7.25,310,6.87,245,5.43
Golden Glades ,2018,170,3.77,168,3.73,164,3.64
Hialeah Gardens ,2013,79,3.69,74,3.46,48,2.24
Hialeah Gardens ,2014,60,2.8,57,2.66,42,1.96
Hialeah Gardens ,2015,124,5.79,99,4.63,39,1.82
Hialeah Gardens ,2016,98,4.01,81,3.31,37,1.51
Hialeah Gardens ,2017,48,1.96,43,1.76,29,1.19
Hialeah Gardens ,2018,27,1.1,27,1.1,27,1.1
Ives Estates ,2013,98,4.33,92,4.07,56,2.48
Ives Estates ,2014,109,4.82,102,4.51,82,3.63
Ives Estates ,2015,237,10.48,155,6.85,80,3.54
Ives Estates ,2016,232,7.3,166,5.22,81,2.55
Ives Estates ,2017,152,4.78,128,4.03,110,3.46
Ives Estates ,2018,133,4.19,118,3.71,110,3.46
Miami Lakes ,2013,37,1.09,35,1.03,19,0.56
Miami Lakes ,2014,49,1.45,46,1.36,35,1.03
Miami Lakes ,2015,96,2.84,80,2.36,20,0.59
Miami Lakes ,2016,46,1.25,35,0.95,13,0.35
Miami Lakes ,2017,24,0.65,21,0.57,17,0.46
Miami Lakes ,2018,16,0.43,16,0.43,14,0.38
Ojus ,2013,40,2.01,39,1.96,26,1.31
Ojus ,2014,39,1.96,36,1.81,31,1.56
Ojus ,2015,73,3.67,55,2.77,30,1.51
Ojus ,2016,70,3.36,59,2.83,36,1.73
Ojus ,2017,41,1.97,36,1.73,30,1.44
Ojus ,2018,50,2.4,50,2.4,48,2.3
South Miami ,2013,40,2.45,40,2.45,28,1.71
South Miami ,2014,36,2.2,35,2.14,30,1.84
South Miami ,2015,73,4.47,52,3.18,22,1.35
South Miami ,2016,39,1.9,34,1.66,23,1.12
South Miami ,2017,20,0.98,18,0.88,15,0.73
South Miami ,2018,24,1.17,22,1.07,22,1.07
Sunny Isles Beach ,2013,113,2.31,102,2.09,64,1.31
Sunny Isles Beach ,2014,103,2.11,92,1.88,71,1.45
Sunny Isles Beach ,2015,202,4.13,142,2.91,60,1.23
Sunny Isles Beach ,2016,189,3.54,135,2.53,73,1.37
Sunny Isles Beach ,2017,123,2.3,103,1.93,72,1.35
Sunny Isles Beach ,2018,74,1.38,66,1.24,63,1.18
Sunset ,2013,13,1.35,13,1.35,9,0.93
Sunset ,2014,14,1.45,14,1.45,12,1.25
Sunset ,2015,38,3.95,34,3.53,12,1.25
Sunset ,2016,24,1.83,21,1.6,10,0.76
Sunset ,2017,12,0.91,12,0.91,10,0.76
Sunset ,2018,8,0.61,8,0.61,8,0.61
University Park ,2013,52,1.97,52,1.97,27,1.02
University Park ,2014,36,1.37,35,1.33,29,1.1
University Park ,2015,94,3.57,74,2.81,28,1.06
University Park ,2016,61,2.33,52,1.99,19,0.73
University Park ,2017,34,1.3,34,1.3,25,0.96
University Park ,2018,22,0.84,22,0.84,22,0.84
